,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,,,,,,,,,0.0,,,106.94,48.99,527.25,1036.36,1612.78,99.47,80.68,75.24,270.04,565.64,835.68,310.55,599.44,,,,,,0.0,1.39,0.08,0.0,0.0,,,,,,13.02,12.83,1.95,1.95,9,2014,,309.625,24.77
2014-12-31,68.66999999999999,3.7300000000000004,0.011778947368421054,0.0,29.560000000000002,14.509999999999998,21.41000000000001,,0.0,54.16,13.86,1232.96,49.03,1622.19,1406.37,3082.11,99.49,23.84,75.26,242.17,892.08,1134.25,400.0,1722.76,-20.870000000000005,-331.22,1478.1100000000001,6.900000000000002,0.0,0.0,0.66,0.09,0.0,0.0,0.4816280701754387,0.0,0.8637894736842107,0.0,1.3035368421052633,11.04,10.89,6.7,6.7,12,2014,0.0,316.6666666666667,28.5
2015-03-31,61.88,1.35,0.0,,20.98,9.51,16.26,19.8,0.0,52.37,6.98,213.8,39.67,1388.04,1344.66,2875.07,0.0,21.14,75.56,122.98,782.01,904.99,400.0,1725.72,18.57,-936.42,-100.67,6.75,0.0,4.59,0.52,0.0,0.0,0.0,0.2,0.0,0.32,0.0,1.4,2.3,2.18,11.29,11.29,3,2015,,inf,1.35
2015-06-30,67.58000000000001,5.550000000000001,0.016086956521739134,,23.81,14.37,21.429999999999996,20.5,0.0,53.199999999999996,9.809999999999999,108.95,46.05,1421.87,1455.51,3037.04,0.0,40.22,112.05,168.32,789.11,957.43,401.2,1733.47,-173.82999999999998,-34.06000000000006,135.71,7.0600000000000005,318.58108108108104,4.74,0.55,0.02,0.0,0.0,0.7400000000000001,0.0,1.2869565217391306,0.0,2.670434782608696,5.69,5.33,8.45,8.45,6,2015,,345.0,6.9
2015-09-30,61.109999999999985,5.289999999999999,0.013018867924528301,0.0,20.500000000000007,13.059999999999999,20.490000000000002,16.2,0.0,48.06,9.52,46.21,38.25,1202.8,1670.98,3055.72,0.0,19.13,127.94,225.78,741.71,967.49,401.2,1738.33,-39.670000000000016,-18.350000000000023,-31.21,7.429999999999998,311.0869565217392,3.74,0.56,0.03,0.0,0.0,0.6943396226415095,2.7426415094339625,1.2150943396226412,1.8052830188679245,2.2739622641509434,6.85,6.4,5.33,5.33,9,2015,0.0,406.3333333333333,12.19
2015-12-31,131.94,34.42,0.0886161767860974,0.0,58.30999999999999,54.5,67.44999999999999,17.0,0.0,77.44,49.94,54.0,97.3,1265.94,1846.67,3294.24,0.0,43.05,138.33,261.01,896.07,1157.09,401.2,1771.6,208.52,-356.09000000000003,155.35999999999999,12.95,47.9607691748983,3.85,0.65,0.12,0.0,0.0,4.164960308946578,8.477614245869987,7.768684831581206,7.8868397339626695,8.891156404205107,15.29,14.45,4.85,4.85,12,2015,0.0,388.4166666666667,46.61
2016-03-31,137.19,31.29,0.08,0.0,60.89,51.45,64.84,16.9,0.0,85.74,47.16,39.77,99.82,1253.18,1954.36,3388.08,0.0,43.86,138.98,236.76,973.4,1210.16,401.2,1802.88,26.89,-82.3,41.18,13.39,52.8125,3.76,0.67,0.08,0.0,0.0,3.68,6.56,6.96,7.08,6.52,23.67,22.81,5.29,5.29,3,2016,0.0,391.125,31.29
2016-06-30,154.12,50.169999999999995,0.12317701939602259,0.0,65.87,69.72,83.44999999999999,16.8,0.0,84.39999999999999,48.07000000000001,64.3,116.85,1213.52,2273.65,3691.23,0.0,56.07,139.33,416.38,1011.64,1428.02,401.2,1856.06,207.11,-259.64,77.06,13.73,34.097269284432926,3.63,0.77,0.2,0.0,0.0,5.444424257304198,8.868745396513626,10.814942302970781,11.184473361158851,9.115099435305671,28.78,27.96,2.91,2.91,6,2016,0.0,407.29999999999995,81.46
2016-09-30,182.87,49.530000000000015,0.12477975417970841,0.0,88.49,75.55,89.72,18.7,0.0,107.32,65.55,173.27,157.34,1251.05,2673.62,4304.85,0.0,121.69,139.09,561.92,1408.0,1969.92,401.2,1905.59,113.85000000000002,-367.82,362.93,14.169999999999998,37.4682177468201,3.94,1.03,0.33,0.0,0.0,4.597944881288649,8.091777998320484,10.390750438964808,10.874744636995194,7.955654630124439,29.89,27.62,2.23,2.23,9,2016,0.0,396.93939393939394,130.99
2016-12-31,242.57999999999998,70.17999999999998,0.1744295869165382,0.0,111.83999999999997,106.01000000000002,126.59000000000003,18.1,0.0,136.58000000000004,97.58000000000001,203.37,168.34,1163.36,2853.38,4452.55,0.0,72.91,139.96,331.43,1683.72,2015.15,401.2,1975.77,-87.25,-123.95000000000005,241.3,20.58,25.941699914505566,3.68,1.02,0.5,0.0,0.0,6.307373862902021,10.91231495749863,14.205545558482871,14.986990107868964,10.256459710692445,29.92,28.07,3.51,3.51,12,2016,0.0,402.34,201.17
2017-03-31,240.37,63.92,0.16,0.0,116.57,103.45,124.1,19.2,0.0,136.92,98.91,122.05,170.11,1105.36,3158.81,4734.45,0.0,70.51,203.54,439.15,1781.56,2220.71,401.2,2039.68,97.67,-356.5,177.51,20.65,30.0,3.78,1.09,0.16,0.0,0.0,5.4,10.2,12.52,13.32,9.64,27.1,26.59,2.52,2.52,3,2017,0.0,399.5,63.92
2017-06-30,252.64999999999998,40.56,0.10093415007656968,0.03,105.43,78.64,99.63,18.4,0.0,174.01000000000002,65.89000000000001,144.42,174.75,932.47,3496.93,4935.82,0.0,80.28,246.18,582.42,1759.11,2341.53,401.2,2068.21,204.78999999999996,-261.29999999999995,78.88,20.990000000000002,45.574763313609466,3.57,1.13,0.26,0.03,0.12,3.292006125574273,6.5529555895865235,7.841807044410413,8.261071975497703,6.490842266462481,21.96,21.19,1.6,1.6,6,2017,12.055384615384616,401.84615384615387,104.48
2017-09-30,301.82000000000005,26.219999999999985,0.0662019892884468,-0.00043823200517922146,135.35000000000002,75.85,105.22,16.9,60.33,225.95999999999998,129.83999999999997,207.11,221.03,900.3,3595.25,5036.72,0.0,99.67,261.89,664.33,1717.13,2381.46,401.2,2094.43,81.28000000000003,-40.280000000000086,21.689999999999998,29.370000000000005,63.81719107551491,3.24,1.14,0.33,0.03,0.09,2.0783412394797236,4.429514919663348,5.007277735271612,5.23998775822494,4.734445294567711,16.95,16.44,1.36,1.36,9,2017,-0.17356643356643708,396.060606060606,130.7
