,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-09-30,,,,,,,,,,,51.15,0.0,303.61,374.44,6.12,989.78,6.37,71.24,94.7,4.64,99.35,800.0,890.44,,,,,,0.0,0.11,0.15,0.0,0.0,,,,,,18.88,17.32,0.0,3.95,0.75,9,2006,,160.53333333333333,24.08
2006-12-31,74.05000000000001,21.15,0.13093079814282557,0.0,39.67999999999999,31.71,32.160000000000004,1.13,42.33999999999999,33.97,204.52,0.0,299.29,512.38,6.15,1186.38,7.94,6.63,35.82,6.85,42.67,1000.0,1143.71,44.04,-58.58,167.91,0.44999999999999996,2.159919621749409,0.99,0.04,0.28,0.0,0.0,7.126376298916648,0.0,7.3882378952023,0.0,10.92336944505859,22.01,21.23,0.0,14.3,5.95,12,2006,0.0,161.53571428571425,45.23
2007-03-31,51.15,15.62,0.08,0.15,27.35,20.96,21.49,0.98,30.2,18.17,202.85,0.0,322.14,535.57,6.14,1209.39,7.92,6.63,39.29,10.77,50.06,1000.0,1159.33,-3.71,-0.37,2.42,0.53,3.05,0.84,0.04,0.08,0.15,1.88,5.16,0.0,5.4,0.0,7.16,33.28,30.54,0.0,13.63,5.43,3,2007,29.287499999999998,195.25,15.62
2007-06-30,48.64000000000001,12.980000000000002,0.013615384615384618,0.11927884615384615,26.199999999999996,17.689999999999998,18.24,1.16,30.94,16.65,154.79,0.0,344.71,510.17,5.65,1193.74,8.38,6.63,42.1,9.33,51.43,1000.0,1142.31,-9.98,-4.89,-33.19,0.55,21.30127118644068,1.02,0.05,0.03,0.15,5.0,4.356923076923077,0.0,4.538461538461539,0.0,6.099692307692308,30.91,28.66,0.0,12.12,3.93,6,2007,113.7125,953.3333333333334,28.6
2007-09-30,63.80999999999999,17.240000000000002,0.01880453752181501,-0.005977312390924945,31.510000000000005,22.950000000000003,23.510000000000005,1.33,40.86,18.880000000000003,122.36,0.0,364.87,494.75,5.38,1209.48,6.22,6.63,38.91,11.03,49.94,1000.0,1159.55,-0.030000000000001137,-32.39,-0.019999999999999574,0.5599999999999998,17.681902552204175,1.15,0.04,0.05,0.15,3.0,5.70153577661431,8.424432809773124,5.9422338568935436,6.724502617801047,7.912949389179755,29.59,28.02,0.0,12.72,3.34,9,2007,-5.47999999999999,916.8000000000001,45.84
2007-12-31,93.01000000000002,35.67,0.0350092013249908,0.015027603974972369,55.74000000000001,48.029999999999994,48.6,1.04,44.97999999999999,46.64999999999999,148.37,0.0,349.75,504.41,4.93,1256.55,12.04,6.63,49.54,11.79,61.33,1000.0,1195.22,68.27,-43.089999999999996,0.8299999999999983,0.5700000000000001,7.4266190075693865,0.87,0.05,0.08,0.15,1.88,11.360485829959515,15.719131394920868,11.938137651821863,12.200706661759293,15.894177401545821,33.09,31.76,0.0,10.18,3.12,12,2007,15.311249999999973,1018.875,81.51
2008-03-31,58.12,17.94,0.02,0.04,32.61,24.05,24.65,1.08,34.06,23.25,153.42,0.0,373.56,533.76,6.31,1279.88,13.04,6.63,54.24,12.49,66.72,1000.0,1213.16,8.26,-2.39,-0.83,0.6,13.5,0.89,0.05,0.02,0.04,2.0,5.6,7.72,5.92,6.04,7.84,31.46,30.87,0.0,9.84,2.95,3,2008,35.88,897.0,17.94
2008-06-30,78.88,26.3,0.023779385171790235,0.00755877034358047,42.93000000000001,35.17,35.81,0.96,43.72,32.64,117.81,0.0,439.03,564.42,6.12,1258.2,15.07,6.63,46.3,11.86,58.16,1000.0,1200.04,6.17,-1.7799999999999998,-40.0,0.64,10.09277566539924,0.8,0.05,0.04,0.04,1.0,8.370343580470163,11.485443037974683,8.774593128390595,8.98860759493671,11.628119349005424,33.21,32.29,0.0,12.19,2.71,6,2008,8.36,1106.0,44.24
2008-09-30,89.37,26.359999999999992,0.026135977337110476,-0.0038640226628895223,42.89999999999999,35.239999999999995,35.88,0.81,54.129999999999995,34.650000000000006,112.44,0.0,503.69,653.37,5.51,1271.5,9.45,6.63,33.08,12.6,45.68,1000.0,1225.82,25.72,-31.089999999999996,0.0,0.6399999999999999,7.7469840667678325,0.66,0.04,0.07,0.04,0.57,8.288838526912178,11.3654164305949,8.602470254957504,8.841427762039658,11.395286118980167,31.83,31.19,0.0,19.75,4.52,9,2008,-3.8971428571428604,1008.5714285714284,70.6
2008-12-31,60.48000000000002,13.440000000000012,0.012793907663017622,0.0015965186645814959,23.05000000000001,18.11,18.709999999999994,0.44,42.370000000000005,15.789999999999992,121.13,0.0,507.28,667.88,4.22,1285.19,7.38,6.63,32.99,12.94,45.93,1000.0,1239.26,10.18,-1.490000000000002,0.0,0.6000000000000001,8.597842261904756,0.36,0.04,0.08,0.04,0.5,4.183607805806762,5.667701094716806,4.3371346977629734,4.413898143741079,5.750861494526421,30.08,29.3,0.0,20.24,4.87,12,2008,1.6771428571428615,1050.5,84.04
2009-03-31,35.0,5.96,0.01,0.05,15.1,7.99,8.47,0.48,27.01,8.51,65.41,0.1,528.88,683.04,3.82,1299.9,15.8,6.63,41.79,12.89,54.68,1000.0,1245.22,-6.49,-49.23,0.0,0.48,12.0,0.39,0.04,0.01,0.05,4.5,1.84,2.48,1.92,1.92,2.56,17.41,17.03,0.0,16.34,3.69,3,2009,29.8,596.0,5.96
2009-06-30,25.39,3.8099999999999996,0.0038996929375639715,0.019498464687819853,10.660000000000002,5.109999999999999,5.6,0.59,20.279999999999998,4.74,26.11,0.22,553.18,626.0,3.44,1242.54,10.81,6.63,25.56,12.96,38.51,1000.0,1204.03,-35.26,40.959999999999994,-45.0,0.49,37.82349081364829,0.49,0.03,0.01,0.05,4.5,1.232302968270215,1.6378710337768678,1.2635005117707268,1.2635005117707268,1.6846673490276356,16.87,16.18,0.0,24.49,2.85,6,2009,19.049999999999994,976.9999999999999,9.77
2009-09-30,36.0,6.73,0.008157575757575758,-0.009212121212121204,15.109999999999996,9.020000000000001,9.5,0.74,26.979999999999997,9.399999999999999,19.34,0.41,562.49,629.87,3.09,1246.29,10.4,6.63,22.67,12.86,35.52,1000.0,1210.76,-6.700000000000003,-0.07000000000000028,0.0,0.48,22.678306092124814,0.61,0.03,0.02,0.05,2.25,2.1536000000000004,2.871466666666667,2.2188606060606064,2.202545454545455,2.9530424242424242,17.72,17.12,0.0,27.78,2.97,9,2009,-7.599999999999994,825.0,16.5
2009-12-31,22.179999999999993,1.7699999999999996,0.0019376026272577992,0.004844006568144504,7.810000000000002,2.4599999999999973,2.91,0.62,19.730000000000004,2.4800000000000004,50.73,0.24,571.67,630.39,2.74,1246.1,8.65,6.63,21.58,11.98,33.56,1000.0,1212.53,-8.559999999999995,39.95,0.0,0.44999999999999996,79.99576271186443,0.51,0.03,0.02,0.05,2.25,0.5696551724137929,0.7517898193760261,0.5851559934318554,0.5774055829228242,0.7789162561576353,15.98,15.41,0.0,29.21,2.72,12,2009,4.425000000000004,913.5,18.27
2010-03-31,41.74,5.9,0.01,0.02,15.74,8.04,8.46,0.65,33.7,8.33,63.76,0.18,566.04,636.43,2.48,1251.37,7.92,6.63,37.11,10.82,47.93,1000.0,1203.44,12.4,0.64,0.0,0.42,16.25,0.54,0.04,0.01,0.02,1.5,1.88,2.52,1.96,1.92,2.64,14.41,14.14,0.0,17.15,1.9,3,2010,11.8,590.0,5.9
2010-06-30,27.029999999999994,3.9000000000000004,0.003979591836734694,0.007959183673469388,11.209999999999999,5.210000000000001,5.579999999999998,0.81,21.82,5.52,55.69,0.12,562.78,624.45,2.27,1238.61,8.1,6.63,20.4,10.87,31.27,1000.0,1207.34,6.3199999999999985,0.6,-15.0,0.37000000000000005,50.88461538461539,0.67,0.03,0.01,0.02,1.5,1.2575510204081632,1.7032653061224492,1.289387755102041,1.289387755102041,1.7351020408163267,14.61,14.25,0.0,30.61,3.02,6,2010,7.800000000000001,980.0,9.8
2010-09-30,15.990000000000009,1.2899999999999991,0.0011632100991884574,0.0023264201983769148,7.809999999999999,1.7300000000000004,2.1000000000000014,0.76,14.259999999999998,2.0700000000000003,28.87,0.05,567.49,627.38,2.05,1240.72,8.18,6.63,21.4,10.69,32.09,1000.0,1208.63,-2.6099999999999994,-24.22,0.0,0.3699999999999999,163.34108527131795,0.63,0.03,0.01,0.02,1.5,0.4141027953110908,0.5583408476104595,0.4280613165013523,0.4280613165013523,0.572299368800721,13.46,13.08,0.0,29.32,2.8,9,2010,2.5799999999999983,1109.0,11.09
2010-12-31,19.72999999999999,2.6099999999999994,0.0019051094890510944,0.0038102189781021915,8.630000000000003,3.41,3.759999999999998,0.91,16.319999999999993,3.610000000000001,27.49,0.01,569.53,627.74,1.79,1240.73,7.83,6.63,18.88,10.62,29.5,1000.0,1211.23,-1.6499999999999986,0.28000000000000114,0.0,0.3500000000000001,119.41570881226056,0.75,0.02,0.01,0.02,1.5,0.8382481751824817,1.127824817518248,0.8611094890510946,0.8611094890510946,1.1506861313868613,13.48,13.11,0.0,33.25,3.08,12,2010,5.220000000000002,1370.0,13.7
2011-03-31,24.76,3.08,0.0,,10.4,4.15,4.36,0.78,20.61,4.68,38.04,0.03,564.35,633.36,1.65,1246.15,8.13,6.63,31.04,11.31,42.36,1000.0,1203.79,10.36,0.19,0.0,0.21,0.0,0.65,0.04,0.0,0.01,0.0,1.0,1.32,1.04,1.04,1.36,12.73,12.44,0.0,20.4,2.22,3,2011,inf,inf,3.08
2011-06-30,32.120000000000005,6.4399999999999995,0.006764705882352942,-inf,13.520000000000001,8.61,8.719999999999999,0.79,23.509999999999998,7.609999999999999,32.37,0.01,554.67,623.11,1.6,1235.78,1.36,6.63,14.26,11.27,25.54,1000.0,1210.24,13.86,-9.53,-10.0,0.11000000000000001,29.195652173913043,0.65,0.02,0.01,0.01,1.0,2.083529411764706,2.787058823529412,2.1376470588235295,2.1376470588235295,2.814117647058824,17.59,16.74,0.0,43.7,4.8,6,2011,-inf,951.9999999999999,9.52
2011-09-30,19.04,1.2599999999999998,0.0011688311688311686,0.0011688311688311686,6.659999999999997,1.6799999999999997,1.8000000000000007,0.68,17.36,1.1700000000000017,23.35,0.0,549.46,623.82,1.54,1236.34,0.67,6.63,13.4,11.44,24.84,1000.0,1211.49,5.220000000000002,-14.239999999999998,0.0,0.12,145.44444444444446,0.56,0.02,0.01,0.01,1.0,0.4067532467532467,0.547012987012987,0.4161038961038961,0.4161038961038961,0.5516883116883117,15.01,14.2,0.0,46.55,5.55,9,2011,1.2599999999999998,1078.0,10.78
2011-12-31,15.209999999999994,2.0700000000000003,0.0016108949416342414,0.0016108949416342414,7.5,2.76,2.889999999999999,0.84,12.45000000000001,2.5299999999999994,26.66,1.4,550.01,628.07,1.64,1240.61,9.39,6.63,18.5,8.55,27.05,1000.0,1213.56,2.8000000000000007,0.5,0.0,0.12999999999999995,130.3623188405797,0.69,0.02,0.01,0.01,1.0,0.6701322957198445,0.8956575875486382,0.6830194552529185,0.6830194552529185,0.9085447470817122,14.97,14.1,0.0,33.95,4.22,12,2011,2.0700000000000003,1285.0,12.85
2012-03-31,20.97,3.77,0.0,,9.96,4.88,4.94,0.84,16.09,4.57,35.22,1.33,542.55,629.1,1.64,1241.66,5.78,6.63,15.88,8.45,24.32,1000.0,1217.33,8.0,0.56,0.0,0.06,0.0,0.69,0.02,0.0,0.01,0.0,1.2,1.56,1.24,1.24,1.6,19.25,17.98,0.0,39.62,5.45,3,2012,inf,inf,3.77
2012-06-30,22.939999999999998,4.99,0.005696347031963471,-inf,11.989999999999998,6.489999999999999,6.55,0.91,16.44,5.26,35.46,1.6,536.68,623.74,1.85,1236.5,7.22,6.63,16.2,7.97,24.18,1000.0,1212.32,9.829999999999998,0.4099999999999999,-10.0,0.06,39.937875751503,0.75,0.02,0.01,0.01,1.0,1.6177625570776255,2.096255707762557,1.6405479452054794,1.6405479452054794,2.1190410958904113,21.36,19.95,0.0,38.5,5.37,6,2012,-inf,876.0,8.76
2012-09-30,24.28,5.93,0.0040367597004765145,0.0040367597004765145,12.73,7.709999999999999,7.779999999999999,1.04,16.58,7.65,33.95,1.42,529.29,629.66,2.51,1243.34,7.54,6.63,16.95,8.13,25.08,1000.0,1218.26,13.780000000000001,-15.290000000000001,0.0,0.07,64.40809443507588,0.85,0.02,0.01,0.01,1.0,1.9053505786249147,2.486643975493533,1.9537916950306329,1.9537916950306329,2.518938053097345,22.89,21.54,0.0,37.15,5.92,9,2012,5.93,1469.0,14.69
2012-12-31,55.46000000000001,15.97,0.015626223091976518,-0.004373776908023482,27.810000000000002,20.800000000000004,20.91,1.24,34.66,21.610000000000003,38.4,1.88,507.48,647.76,2.68,1261.79,6.07,6.63,19.85,7.71,27.56,1000.0,1234.23,39.17,-34.72,0.0,0.10999999999999999,19.83684721352536,1.0,0.02,0.03,0.01,0.33,5.062896281800392,6.646353555120679,5.167071102413568,5.229575994781474,6.688023483365949,25.89,24.8,0.0,32.63,7.07,12,2012,-4.469999999999999,1022.0,30.66
2013-03-31,12.09,-0.35,0.0,,5.61,-0.32,-0.21,2.32,12.42,-0.2,18.4,2.35,505.95,646.7,2.62,1263.48,5.01,6.63,18.8,7.63,26.43,1000.0,1237.05,-1.19,-18.81,0.0,0.11,0.0,1.88,0.02,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,-3.25,-2.89,0.0,34.4,7.49,3,2013,,-inf,-0.35
2013-06-30,15.510000000000002,-2.4099999999999997,0.0,,7.3,-1.89,-1.78,1.65,17.4,1.42,16.22,2.17,504.63,638.02,3.59,1251.99,5.65,6.81,12.62,7.73,20.35,1025.0,1231.64,-5.09,5.959999999999999,-3.06,0.11,0.0,1.37,0.02,0.0,0.0,0.0,-0.7684057971014493,-0.628695652173913,-0.7684057971014493,-0.8033333333333333,-0.628695652173913,-11.12,-10.0,0.0,50.56,10.57,6,2013,,-inf,-2.76
2013-09-30,33.42,5.029999999999999,0.0,,14.579999999999998,6.87,6.98,1.48,26.54,6.19,18.81,1.99,493.15,643.95,3.51,1257.42,6.29,6.81,13.1,7.65,20.75,1025.0,1236.67,16.34,-13.709999999999999,-0.029999999999999805,0.11000000000000001,0.0,1.23,0.02,0.0,0.0,0.0,1.5954185022026428,3.279471365638766,1.5954185022026428,1.5954185022026428,3.279471365638766,4.02,3.72,466.0,49.16,11.51,9,2013,,inf,2.27
2013-12-31,9.020000000000003,-17.77,-0.022929032258064516,,5.699999999999999,-17.48,-17.35,1.35,26.5,-18.23,18.15,1.6,491.86,641.61,5.05,1257.13,5.18,0.19,30.83,7.41,38.24,1025.0,1218.9,-1.7700000000000014,1.1600000000000001,-0.050000000000000266,0.13,-14.71933033202026,1.14,0.03,-0.02,0.0,-0.15,-5.6405419354838715,-4.677522580645162,-5.823974193548387,-5.778116129032258,-4.815096774193549,-24.28,-22.13,-641.0,20.81,4.86,12,2013,,775.0,-15.5
2014-03-31,9.06,-0.68,0.0,,3.95,-0.68,-0.55,1.26,9.74,-2.15,17.7,1.95,201.51,351.16,4.93,1253.74,2.78,0.19,27.6,7.93,35.53,1025.0,1218.22,-1.76,1.36,-0.05,0.13,0.0,1.06,0.03,0.0,0.0,0.0,-0.2,-0.2,-0.24,-0.24,-0.24,-8.97,-7.51,-68.0,12.72,5.42,3,2014,,-inf,-0.68
2014-06-30,40.449999999999996,8.68,0.01085,,18.51,10.74,10.860000000000001,1.42,29.72,9.25,32.32,1.95,182.3,361.58,4.81,1264.06,3.08,6.82,29.52,7.64,37.16,1025.0,1226.9,28.26,-13.58,-0.06,0.12,32.71889400921659,1.19,0.03,0.01,0.0,0.0,2.7342,3.472,2.821,2.821,3.5154,17.19,16.16,503.0,12.25,6.07,6,2014,,800.0,8.0
2014-09-30,16.470000000000006,1.08,0.0011894273127753304,0.0,6.07,1.3599999999999994,1.4900000000000002,2.3,15.11,-0.29000000000000004,29.82,1.49,174.87,361.18,4.69,1263.52,2.91,6.82,28.36,7.19,35.55,1025.0,1227.97,5.969999999999999,-8.42,-0.05,0.13,483.4259259259259,1.92,0.03,0.01,0.0,0.0,0.34255506607929515,0.4329515418502203,0.3520704845814978,0.3520704845814978,0.43770925110132164,14.8,13.76,0.0,12.74,6.57,9,2014,0.0,908.0,9.08
2014-12-31,22.0,3.0600000000000005,0.0025205930807248767,0.0,9.32,3.8499999999999996,3.9799999999999986,2.24,18.15,2.070000000000001,18.34,1.44,165.15,364.93,4.65,1267.25,3.51,0.2,29.58,6.64,36.22,1025.0,1231.03,11.950000000000003,-23.369999999999997,-0.06,0.13,222.16993464052285,1.87,0.03,0.01,0.0,0.0,0.9679077429983527,1.2199670510708402,0.9981548599670511,0.9981548599670511,1.2401317957166393,14.88,13.8,0.0,12.34,6.75,12,2014,0.0,1214.0,12.14
2015-03-31,22.86,3.45,0.0,,10.18,4.31,4.43,2.66,18.55,2.35,30.34,0.0,156.17,368.23,4.54,1270.43,2.81,0.2,29.51,6.44,35.96,1025.0,1234.48,10.23,1.83,-0.05,0.12,0.0,2.21,0.03,0.0,0.0,0.0,1.08,1.36,1.12,1.12,1.4,16.51,15.09,0.0,12.48,7.19,3,2015,,inf,3.45
2015-06-30,26.53,2.2299999999999995,0.003926056338028168,,10.280000000000001,2.8200000000000003,2.95,2.6,23.709999999999997,0.7799999999999998,43.77,0.0,144.09,369.42,4.51,1271.58,2.88,0.2,28.68,6.19,34.87,1025.0,1236.71,11.7,1.7799999999999998,-0.06,0.13,165.56053811659197,2.15,0.03,0.01,0.0,0.0,0.7066901408450703,0.8794366197183098,0.722394366197183,0.722394366197183,0.8951408450704222,12.51,11.5,0.0,12.88,7.86,6,2015,,568.0,5.68
2015-09-30,16.11,1.25,0.0018037518037518038,0.0,4.16,2.0100000000000007,2.13,2.92,14.100000000000001,-2.26,29.87,0.0,141.7,367.83,4.42,1269.96,3.07,0.2,28.41,3.59,32.0,1025.0,1237.96,-0.7399999999999984,-13.1,-0.05,0.12,404.712,2.42,0.03,0.01,0.0,0.0,0.39682539682539686,0.5194805194805195,0.4040404040404041,0.4040404040404041,0.5339105339105339,12.11,10.58,0.0,12.95,7.96,9,2015,0.0,693.0,6.93
2015-12-31,15.540000000000006,1.33,0.0016101694915254237,0.0,7.209999999999997,1.2799999999999994,1.4000000000000004,2.72,14.260000000000005,-1.15,36.1,0.0,134.49,366.89,4.63,1269.52,3.7,0.21,29.2,1.03,30.23,1025.0,1239.29,4.649999999999999,1.62,-0.06,0.12,422.31578947368416,2.25,0.02,0.01,0.0,0.0,0.41864406779661023,0.528135593220339,0.43152542372881364,0.43152542372881364,0.5410169491525424,11.74,10.19,0.0,12.56,7.96,12,2015,0.0,826.0,8.26
2016-03-31,13.8,0.26,0.0,,3.98,0.35,0.54,2.4,13.45,-2.7,40.4,0.0,128.96,365.57,4.54,1268.2,2.17,0.21,27.67,0.98,28.65,1025.0,1239.56,2.59,1.77,-0.05,0.19,0.0,1.98,0.02,0.0,0.02,0.0,0.08,0.12,0.08,0.08,0.12,2.42,1.88,0.0,13.21,8.55,3,2016,inf,inf,0.26
2016-06-30,9.46,-2.7199999999999998,0.0,,0.94,-3.02,-2.75,2.64,12.48,-6.0200000000000005,16.69,0.0,124.86,337.69,8.9,1244.86,0.94,0.5,26.08,2.45,28.53,1025.0,1216.33,-2.1399999999999997,-0.99,-20.59,0.27,0.0,2.22,0.02,0.0,0.02,0.0,-0.8845528455284554,-0.9287804878048779,-0.8845528455284554,-0.8845528455284554,-0.9730081300813007,-14.29,-10.58,0.0,12.95,8.16,6,2016,-inf,-inf,-2.46
2016-09-30,16.109999999999996,-0.8500000000000001,0.0,,5.6,-0.8300000000000001,-0.3999999999999999,2.32,16.93,-1.9399999999999995,23.42,0.0,116.14,337.71,8.51,1244.47,1.5,0.49,26.62,2.36,28.98,1025.0,1215.48,5.859999999999999,1.04,-0.16999999999999815,0.43,0.0,1.96,0.02,0.0,0.02,0.0,-0.2773413897280967,-0.2876132930513596,-0.2773413897280967,-0.2773413897280967,-0.29788519637462235,-10.28,-8.41,0.0,12.69,8.32,9,2016,,-inf,-3.31
2016-12-31,36.07,8.77,0.016062271062271063,inf,12.879999999999999,10.52,10.67,2.26,25.560000000000002,4.09,27.12,0.0,102.77,342.59,8.36,1253.27,1.53,0.41,26.57,2.69,29.26,1025.0,1224.01,17.830000000000002,-13.97,-0.16000000000000014,0.15000000000000002,35.175598631698975,1.89,0.02,0.01,0.02,2.0,2.826959706959707,3.597948717948718,2.891208791208791,2.826959706959707,3.662197802197802,8.83,7.24,0.0,12.89,9.03,12,2016,inf,546.0,5.46
2017-03-31,24.68,0.74,0.0,,8.17,0.99,1.35,2.54,23.69,-0.1,41.72,0.0,89.24,344.1,8.03,1254.79,2.39,0.36,27.38,2.66,30.04,1025.0,1224.75,14.17,0.59,-0.16,0.36,0.0,2.13,0.02,0.0,0.0,0.0,0.24000000000000002,0.32,0.24000000000000002,0.24000000000000002,0.32,3.14,3.0,0.0,12.57,9.31,3,2017,,inf,0.74
2017-06-30,22.950000000000003,0.8600000000000001,0.0,,8.799999999999999,1.1500000000000001,1.5099999999999998,3.28,21.8,-0.32999999999999996,52.12,0.0,79.26,344.08,7.7,1254.82,1.62,0.35,26.6,2.61,29.21,1025.0,1225.61,9.729999999999999,0.7999999999999999,-0.12999999999999998,0.36,0.0,2.74,0.02,0.0,0.0,0.0,0.2795,0.36550000000000005,0.2795,0.2795,0.36550000000000005,3.55,3.36,0.0,12.94,9.96,6,2017,,inf,1.6
2017-09-30,33.050000000000004,2.61,0.0,,11.870000000000001,3.3299999999999996,3.69,2.92,29.71999999999999,2.08,16.65,0.0,163.55,407.84,7.46,1259.02,3.13,0.36,28.21,2.59,30.8,1025.0,1228.22,10.04,-45.410000000000004,-0.11000000000000004,0.3600000000000001,0.0,2.44,0.03,0.0,0.0,0.0,0.8183372921615203,1.0911163895486935,0.8431353919239906,0.8431353919239906,1.0911163895486935,5.48,5.22,0.0,14.46,8.66,9,2017,,inf,4.21
