,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2008-12-31,,,,,,,,8.8,980.5,,,595.57,1658.58,126173.14,114637.1,7246.07,11417.72,,,,,,0.91,10.04,2.11,0.0,0.0,,,,,12,2008,,,812.3886255924172,1714.14
2009-03-31,2801.87,453.97,0.56,0.0,0.0,640.32,712.82,10.6,292.94,1684.26,0.0,491.03,1680.96,130466.8,118569.58,7246.06,11776.5,-2766.88,821.54,1839.0,72.5,4.7325,1.02,10.07,0.56,0.0,0.0,1.4,0.0,15.4,0.0,3,2009,0.0,,810.6607142857142,453.97
2009-06-30,2901.4700000000003,502.15,0.6249827427519558,1.4999999999999998,0.0,725.6,783.4399999999999,18.4,646.59,2243.45,0.0,595.71,1632.56,130323.84,118976.1,7246.06,11226.6,-1936.6599999999999,1126.54,918.7600000000002,57.84,7.359163198247536,1.82,10.6,1.19,1.5,1.26,1.533571099861942,0.0,17.89866543948458,0.0,6,2009,1205.1932773109243,,803.4621848739496,956.12
2009-09-30,3029.6399999999994,512.67,0.6631805772098122,-0.05901607914729562,0.0,749.48,849.6499999999999,22.9,964.19,2523.67,0.0,644.27,1607.23,132827.21,120771.15,7246.06,11933.04,1406.1799999999998,-901.25,-455.8900000000003,100.16999999999999,8.630756383248483,2.39,10.12,1.9,1.5,0.79,1.5497482962166136,0.0,17.18684822200587,0.0,9,2009,-45.622224679345436,,773.0473684210526,1468.79
2009-12-31,3389.4300000000003,519.6000000000001,0.6846503955461456,-0.027907582463569412,0.0,729.79,816.04,24.2,1547.88,2470.5700000000006,0.0,826.53,1558.67,138804.36,126285.64,7268.73,12430.0,493.8000000000002,-310.4899999999999,-0.6999999999998181,86.25,8.839840069284064,2.54,10.16,2.62,1.5,0.57,1.4947329246274628,2.247325725838493,16.724284471356228,17.435066561388865,12,2009,-21.179831257533124,,758.9274809160305,1988.39
2010-03-31,3195.5,712.28,0.9799999999999999,0.0,0.0,996.89,1081.54,27.0,312.17,2460.71,0.0,664.4,1522.75,139806.46,126510.77,7268.99,13204.88,-745.8,585.51,0.0,84.65,6.887499999999999,2.51,9.58,0.98,0.0,0.0,2.04,2.96,21.56,22.8,3,2010,0.0,,726.8163265306123,712.28
2010-06-30,3573.08,762.8700000000001,1.0498092397383316,1.24,0.0,1088.21,1174.4,28.75,729.93,2594.2799999999997,0.0,654.87,1504.34,147476.19,134223.94,7278.28,13170.6,1854.32,1038.65,-2902.48,86.19,6.845243619489558,2.62,10.19,2.03,1.24,0.61,2.0685896349523776,3.102884452428567,23.16820391146663,25.009248686574246,6,2010,901.0768472906406,,726.6748768472908,1475.15
2010-09-30,3549.34,730.6300000000001,1.003639936893072,0.0022234097277876413,-2443.44,1102.1100000000001,1189.4499999999998,38.75,1328.58,-1538.5499999999997,-2443.44,770.01,1500.16,156406.93,142283.44,7278.28,14038.41,-9778.54,1876.9199999999998,8019.98,87.34,9.653287642171824,3.89,10.14,3.03,1.24,0.41,1.8681614666920545,2.9148618629237735,20.81476357569658,22.51068320503405,9,2010,1.6185982539140014,,727.9801980198021,2205.78
2010-12-31,3615.75,682.4699999999998,0.938078732796676,-0.0007862611657169058,-479.2399999999998,971.4200000000001,1063.1100000000001,40.75,1933.4,857.5399999999995,-479.2399999999998,903.31,1466.87,171407.55,156550.32,7279.12,14773.34,-954.1000000000004,77.25,1010.6700000000001,91.69,10.855218910721353,4.69,10.6,3.97,1.24,0.31,1.5973330563489996,2.5330488704232663,18.478024409244348,20.065905790703706,12,2010,-0.5720198518594088,,727.5188916876574,2888.25
2011-03-31,3911.34,828.6,1.14,0.0,-1047.42,1186.36,1270.27,39.0,351.56,1237.63,-1047.42,757.14,1425.95,195674.12,180143.43,7279.12,15447.23,-353.11,161.13,45.56,83.91,8.5525,4.77,11.66,1.14,0.0,0.0,1.68,2.84,21.44,23.12,3,2011,0.0,,726.842105263158,828.6
2011-06-30,4295.42,863.1999999999999,1.183723844426055,2.25,-1070.92,1225.1700000000003,1316.3600000000001,37.5,679.69,1343.2199999999998,-1070.92,849.35,1436.63,198421.49,183759.82,7279.12,14572.99,3254.7200000000003,1649.63,-4812.860000000001,91.19,7.918063021316034,5.5,12.61,2.32,2.25,0.97,1.734767703038184,2.836855420262442,23.69488592032155,24.899018796548052,6,2011,1640.7543103448277,,729.2241379310345,1691.8
2011-09-30,4745.58,898.9199999999998,1.2352377717391303,-0.004618540339205938,-932.3899999999999,1274.1899999999996,1375.35,36.0,981.48,1257.79,-932.3899999999999,980.22,1422.97,206862.54,191377.09,7279.12,15398.83,-46233.35,-279.8799999999999,46643.55,101.16,7.284346549192364,4.92,12.43,3.56,2.25,0.63,1.734884510869565,2.8174524456521737,23.34460597826087,24.427173913043475,9,2011,-3.361051917861687,,727.7303370786516,2590.72
2011-12-31,4702.829999999998,676.0400000000004,0.9291835335316955,-0.0005160251555292212,-649.96,1169.19,1196.4500000000003,38.0,1283.08,1095.9200000000005,-649.96,903.45,1450.9,220717.57,204405.98,7279.12,16210.45,-12040.370000000003,856.31,11106.39,27.25999999999999,10.220101473285599,5.1,12.61,4.49,2.25,0.5,1.2251150375295408,2.052895468292744,16.679775679878542,17.457889284795954,12,2011,-0.3754410550282046,,727.5634743875279,3266.76
2012-03-31,5057.83,836.66,1.15,0.0,-1111.31,1091.15,1169.54,41.5,259.81,1448.14,-1111.31,870.53,1437.74,232980.02,215793.84,7279.12,17091.93,-3376.52,-1204.05,4546.42,78.39,9.0225,5.14,12.63,1.15,0.0,0.0,1.44,2.04,19.6,20.56,3,2012,0.0,,727.5304347826087,836.66
2012-06-30,5357.91,919.7300000000001,1.2619915280774772,2.35,-1036.46,1184.71,1265.73,38.5,851.14,1419.9799999999998,-1036.46,792.78,1410.69,230886.46,214645.47,7279.12,16146.38,39146.579999999994,535.25,-39758.57,81.02,7.629171659073858,2.87,13.29,2.41,2.35,0.98,1.5918897283632907,2.2202672527172216,22.789158216569216,23.962129595363216,6,2012,1712.6624481327804,,728.792531120332,1756.39
2012-09-30,6103.359999999999,952.9799999999998,1.3084538472043314,-0.0015076593650713453,-1240.5500000000002,1231.5899999999997,1314.77,46.0,1382.95,1763.58,-1240.5500000000002,879.89,1388.55,272808.46,255470.37,7279.12,17212.87,-38621.79,-519.27,39229.58,83.18,8.792132809712692,1.68,14.84,3.72,2.35,0.63,1.3928702244433204,2.0541318461487355,22.145229629028147,23.383336495199988,9,2012,-1.098066412350363,,728.3252688172042,2709.37
2012-12-31,6542.75,995.81,1.3679963996351054,-0.0012657152842747651,-1336.65,1306.2200000000003,1389.04,52.0,1922.24,1815.2700000000004,-1336.65,1046.33,1384.38,290496.94,272116.68,7279.12,18196.36,23905.11,-1989.34,-21749.05,82.82000000000002,9.506567417479237,1.59,14.95,5.09,2.35,0.46,1.3760592467842319,2.0210870187143404,21.887942394161684,23.156497012290902,12,2012,-0.9213561801550441,,727.9332023575638,3705.18
2013-03-31,7002.77,1153.5,1.58,0.0,-1390.86,1475.95,1548.42,55.5,940.09,1839.17,-1390.86,1014.62,1347.34,319015.3,299484.38,7279.12,19303.13,4958.98,337.57,-5326.3,72.47,8.7825,1.51,15.51,1.58,0.0,0.0,1.44,2.12,23.92,25.36,3,2013,0.0,,730.0632911392405,1153.5
2013-06-30,6649.07,1159.1399999999999,1.5888654524699044,2.4,-1295.2500000000002,1489.6699999999998,1563.0299999999997,41.0,1750.23,1602.6799999999998,-1295.2500000000002,983.02,1326.18,323969.26,303522.51,8006.56,20206.18,-4193.91,-1163.44,5323.1,73.36000000000001,6.449271701433822,1.27,15.02,3.17,2.4,0.76,1.4234630552096306,2.1452189705271896,22.955847862183475,25.502042341220424,6,2013,1750.8946372239745,,729.5394321766561,2312.64
2013-09-30,6713.77,1132.0,1.5018231223001535,0.07709006104743467,-1316.0899999999997,1455.62,1533.42,37.75,2528.12,1563.4699999999998,-1316.0899999999997,1153.09,1348.53,338390.69,316757.59,8006.56,21365.93,1584.9699999999998,-2398.78,983.5,77.79999999999998,6.2837293286219085,1.08,14.83,4.57,2.4,0.53,1.3407961354452136,1.906033721956431,21.189836964094944,23.47707743044266,9,2013,58.1066756863097,,753.7505470459517,3444.64
2013-12-31,6718.419999999998,804.4100000000003,1.050699685812123,0.037128937844441295,-1040.0600000000004,998.5600000000004,1075.5200000000004,38.5,4141.22,1235.2300000000005,-1040.0600000000004,1131.0,2511.74,359262.52,336044.46,8006.56,22986.92,1633.63,-1481.85,-91.0,76.95999999999998,9.164607289814892,1.07,14.62,5.55,2.4,0.43,0.8935680210870668,1.2646259281486454,13.99418392346525,15.622295148327277,12,2013,28.425714116742938,,765.5945945945947,4249.05
2014-03-31,6740.81,934.69,1.17,0.0,-1184.19,1194.03,1257.58,40.75,1175.76,1413.6,-1184.19,1087.4,2485.21,332799.58,308599.0,8006.56,23945.14,2630.97,-5074.57,2400.0,63.55,8.7075,1.3,12.89,1.17,0.0,0.0,1.12,1.48,15.6,17.28,3,2014,0.0,,798.880341880342,934.69
2014-06-30,6600.31,991.79,1.2407156575723601,2.0,-1232.7999999999997,1249.0600000000002,1314.4700000000003,41.0,2395.32,1454.3600000000001,-1232.7999999999997,1094.28,2510.82,329489.18,305847.04,8006.56,23373.65,6854.42,-1246.25,-5601.29,65.41000000000001,8.260172213875922,1.31,13.09,2.41,2.0,0.83,1.1943818778289936,1.5444593247788714,16.96845978157053,18.20402724139363,6,2014,1598.738589211618,,799.369294605809,1926.48
2014-09-30,6497.120000000001,1088.96,1.3614527896426394,0.0012056345582069422,-1338.63,1386.02,1448.0299999999997,45.5,3543.92,1543.8000000000002,-1338.63,1012.43,2526.87,317658.22,292740.27,8006.56,24628.21,-5902.029999999999,5820.179999999999,0.0,62.00999999999999,8.355761644137527,1.57,11.89,3.77,2.0,0.53,1.3722866314700344,1.690079325073621,17.680829862308652,18.937555514286473,9,2014,0.9643285602651304,,799.8514588859416,3015.44
2014-12-31,5769.739999999998,1234.0800000000004,1.5420482313296562,0.0010865948698445124,-1359.1599999999999,1488.5099999999998,1528.0299999999997,42.5,4426.46,1467.9499999999998,-1359.1599999999999,1180.48,2483.76,317673.5,291849.81,8006.56,25730.68,3007.48,-2839.3900000000003,0.0,39.52000000000001,6.886944120316348,1.47,11.34,5.31,2.0,0.38,1.5565684594966025,1.8237406577684074,19.189933545435725,20.270238521056502,12,2014,0.8695869362150006,,800.2862523540491,4249.52
2015-03-31,6171.0,1192.47,1.49,0.0,-1305.87,1490.1,1542.57,45.75,971.55,1553.24,-1305.87,1081.59,2492.66,302206.8,275214.4,8006.56,26893.42,546.92,-645.67,-0.14,52.47,7.675,1.61,10.23,1.49,0.0,0.0,1.56,1.88,17.72,18.76,3,2015,0.0,,800.3154362416108,1192.47
2015-06-30,6073.74,1003.95,1.2524121069740761,2.0,-1336.8400000000001,1252.3400000000001,1305.5200000000002,46.0,2215.46,1568.2700000000002,-1336.8400000000001,1021.58,2643.12,297283.04,270855.72,8006.56,26323.0,-4759.18,6300.47,-1601.3,53.18000000000001,9.183199312714775,1.75,10.29,2.74,2.0,0.73,1.3529707433004616,1.6089381812221708,15.248345944764662,16.162515365913624,6,2015,1603.2262773722628,,801.6131386861314,2196.42
2015-09-30,5933.289999999999,809.79,1.0101464967517237,0.00010693193556509074,-753.8299999999999,1002.6799999999998,1056.71,35.5,4381.03,1009.8899999999994,-753.8299999999999,954.74,2629.37,283646.27,256685.92,8006.56,26859.95,-13133.640000000001,166.8099999999995,12900.0,54.03,8.788947967991703,1.5,9.56,3.75,2.0,0.53,1.1421389723272826,1.3468619956689651,12.057108585228574,12.58507848753081,9,2015,0.08572262773736838,,801.6560000000001,3006.21
2015-12-31,5924.040000000001,1243.9099999999999,1.554111907428496,-0.003140316038135382,-1547.5,1543.0699999999997,1598.0999999999995,42.5,5277.42,1791.92,-1547.5,1101.29,2633.34,280293.68,252099.35,8006.56,28095.43,-2743.619999999999,110.03000000000065,2780.1400000000012,55.03,6.8334847376417915,1.83,8.97,5.31,2.0,0.38,1.7794727678277318,2.0721492099046612,17.71277827449578,18.48544408157887,12,2015,-2.513506591337091,,800.3992467043315,4250.12
2016-03-31,5880.72,1255.03,1.57,0.0,-1421.37,1565.73,1620.5,45.5,981.48,1659.02,-1421.37,1093.98,2600.56,279059.76,249565.05,8006.56,29394.2,-11944.11,1436.79,10500.0,54.77,7.244999999999999,2.0,8.49,1.57,0.0,0.0,1.8,2.16,17.08,17.84,3,2016,0.0,,799.3821656050955,1255.03
2016-06-30,5645.669999999999,1207.64,1.5103652539723147,2.4,-1466.8900000000003,1498.1999999999998,1553.6599999999999,49.5,1907.02,1675.5,-1466.8900000000003,974.37,2601.12,270223.19,241499.46,8006.56,28622.62,-2872.789999999999,-326.22,3079.41,55.46,8.192654040111291,2.19,8.44,3.08,2.4,0.78,1.7849771183309173,2.118434382194935,16.869014524885593,17.575159318950572,6,2016,1918.9636363636364,,799.5681818181819,2462.67
2016-09-30,5848.6500000000015,1249.96,1.5621848662538416,0.0017024931848119132,-1511.7199999999993,1576.0800000000004,1639.58,52.5,2998.59,1716.8700000000003,-1511.7199999999993,1015.55,2619.09,265929.04,235911.5,8006.56,29907.21,-678.4200000000001,39.590000000000146,680.0,63.499999999999986,8.398237803609716,2.29,7.89,4.64,2.4,0.52,1.8853955282373949,2.275941744800855,16.712684646732907,17.614981078103664,9,2016,1.3622257053293652,,800.1357758620691,3712.63
2016-12-31,5710.889999999999,1293.2600000000002,1.61467291530577,0.0024170251581563237,-1605.2000000000007,1603.9799999999996,1682.5700000000006,60.25,3972.37,1792.5599999999995,-1605.2000000000007,1149.0,2652.52,271272.4,239946.86,8006.56,31224.91,525.7999999999993,-392.34000000000003,0.0,78.59,9.328514683822279,2.59,7.68,6.25,2.4,0.38,1.9117727317220317,2.3354629046982653,16.565252372704954,17.443634438631292,12,2016,1.9358979310341056,,800.9424,5005.89
2017-03-31,5912.4,1490.76,1.8600000000000003,0.0,-1629.3,1849.52,1933.07,71.75,752.51,1866.91,-1629.3,1097.16,2619.15,266850.4,233947.72,8006.56,32793.97,7445.64,-1497.48,-6000.0,83.55,9.645,3.04,7.13,1.86,0.0,0.0,2.24,2.72,18.2,19.16,3,2017,0.0,,801.4838709677418,1490.76
2017-06-30,5866.130000000001,1505.14,1.878975800260356,3.5,-1661.4600000000003,1878.13,1963.41,76.0,1294.64,1955.6000000000001,-1661.4600000000003,1011.1,2628.86,270584.17,239052.18,8006.56,31420.57,-860.9100000000008,1357.14,-582.29,85.28000000000002,10.111466043025898,3.25,7.61,3.74,3.5,0.94,2.2306557628759305,2.7732477051971025,19.151485964151007,20.05580586801963,6,2017,2803.6497326203207,,801.0427807486631,2995.9
2017-09-30,6418.769999999999,1572.3600000000001,1.9653381374965524,-0.0043627055513546144,-1715.5299999999997,1948.4199999999996,2035.8899999999999,77.0,1906.14,2166.67,-1715.5299999999997,1270.18,2625.63,270706.17,237550.45,8006.56,33040.21,2510.0300000000007,-350.96000000000004,-1900.000000000001,87.47,9.798301184207178,3.28,7.19,5.71,3.5,0.61,2.3267400717122055,2.918750859189276,19.040719048390418,19.976922154168108,9,2017,-3.490363093175347,,800.045534150613,4568.26
