,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2008-06-30,172.97999999999996,-7.48,-0.24051446945337623,0.35,,3.3999999999999995,3.3999999999999995,10.0,4.65,31.2,28.32,0.0,226.69,1173.45,697.28,310.39,476.17,-3.01,-55.08,-10.86,-10.394385026737968,0.65,1.46,-0.1,0.35,-3.5,-2.5975562700964634,7.023022508038586,-6.253376205787783,-6.253376205787783,-0.87,6,2008,,,10.884999999999998,,31.099999999999998,-3.11
2008-09-30,163.47000000000003,3.67,0.13107142857142856,-0.038749999999999896,,4.65,4.65,10.0,11.19,27.320000000000007,13.84,0.0,225.21,1096.41,619.34,310.39,477.07,-46.42,19.800000000000004,2.6999999999999993,19.07356948228883,0.65,1.3,0.02,0.35,17.5,1.3107142857142857,30.67071428571428,3.145714285714285,3.145714285714285,0.11,9,2008,,,-1.0849999999999973,,28.000000000000004,0.56
2008-12-31,150.27999999999997,-6.859999999999999,-0.2177777777777778,0.03888888888888883,,-6.71,-6.71,10.0,21.05,33.19,12.84,0.0,223.78,987.32,521.39,310.39,465.93,-49.05,53.48,-2.6999999999999993,-11.479591836734695,0.67,1.12,-0.2,0.35,-1.75,-2.787555555555555,2.831111111111111,-5.88,-5.749333333333333,-0.94,12,2008,,,1.2249999999999979,,31.499999999999996,-6.3
2009-03-31,123.57,1.69,0.05,0.0,,8.68,8.68,10.0,0.4,25.38,8.2,0.0,222.44,915.46,447.17,310.39,468.28,-31.65,19.25,3.24,50.0,0.66,0.95,0.05,0.0,0.0,0.72,3.2,1.44,1.4,1.37,3,2009,,,0.0,,33.8,1.69
2009-06-30,102.92000000000002,-64.85,-2.084317606079797,0.25,,-86.65,-86.65,7.95,4.69,27.500000000000004,35.48,0.0,171.95,835.33,439.76,310.39,395.56,-33.54,26.28,-5.300000000000001,-0.954461063993832,0.62,1.11,-2.03,0.25,-0.12,-31.049145028499048,-31.870550981633944,-65.5892653578214,-59.51086130462318,-27.89,6,2009,,,7.77832512315271,,31.11330049261084,-63.16
2009-09-30,88.82,-15.760000000000005,-0.5072275722250381,-0.0003414319919903986,,-6.450000000000003,-6.450000000000003,6.9,4.49,25.880000000000003,30.44,0.0,141.44,775.76,394.45,310.39,381.31,-45.60000000000001,46.03,-5.699999999999999,-3.4051776649746186,0.56,1.03,-2.54,0.25,-0.1,-8.123628991383683,-7.205027876330463,-16.534820070957934,-14.689630005068429,-25.03,9,2009,,,-0.010608587719638685,,31.070866141732285,-78.92
2009-12-31,82.37,79.74,2.917317073170732,-0.03418475129633189,,93.42,93.42,7.05,3.78,28.39999999999999,25.83,0.0,172.7,801.31,339.35,310.39,461.96,-24.969999999999985,16.0,4.449999999999999,0.6041509907198395,0.47,0.73,0.03,0.25,8.33,38.89756097560976,392.8653658536585,70.01560975609756,70.01560975609756,0.21,12,2009,,,-0.9343832020997382,,27.333333333333332,0.82
2010-03-31,89.09,5.35,0.17,0.0,,0.86,0.86,7.4,0.0,24.2,46.68,0.0,171.12,830.39,361.26,310.39,469.13,15.44,10.07,-4.45,10.8825,0.49,0.77,0.17,0.0,0.0,2.56,0.4,4.56,4.56,0.0,3,2010,,,0.0,,31.470588235294112,5.35
2010-06-30,91.10999999999999,-2.6799999999999997,-0.09033707865168537,0.1,,1.9700000000000002,1.9700000000000002,8.2,-3.47,27.709999999999997,79.66,4.96,170.16,853.43,387.96,310.39,465.47,28.370000000000005,-22.630000000000003,-3.0999999999999996,-22.692509328358213,0.55,0.83,0.09,0.1,1.11,-1.2446441947565543,-1.3650936329588015,-2.2885393258426965,-2.4892883895131086,1.48,6,2010,,,2.966666666666667,,29.666666666666668,2.67
2010-09-30,135.38,-29.340000000000003,-0.9460967379077616,0.004336957880264977,,-39.37,-39.37,8.2,0.0,26.710000000000008,57.0,0.0,110.78,862.48,424.15,310.39,438.33,-27.46,24.490000000000002,0.0,-2.165687627811861,0.58,0.97,-0.86,0.1,-0.12,-13.597390326209224,-19.626006749156357,-26.754735658042748,-28.64692913385827,0.0,9,2010,,,0.13449612403100808,,31.011627906976745,-26.67
2010-12-31,124.75999999999999,-75.78999999999999,-2.4410208861994924,0.00011870769761539472,,-80.9,-80.9,8.2,-1.98,40.519999999999996,64.9,0.0,104.81,938.39,573.7,310.39,364.69,6.899999999999999,-56.98,0.5499999999999998,-0.838173901570128,0.7,1.57,-3.3,0.1,-0.03,-32.3102400936951,-39.94397813780987,-83.14265079055241,-73.3489791138005,0.0,12,2010,,,0.0036856941508101038,,31.048484848484847,-102.46
2011-03-31,181.98,8.66,0.28,0.0,,-0.87,-0.87,8.8,0.0,0.0,34.49,0.0,103.52,4648.48,4273.75,310.39,374.73,35.5,-18.49,-0.55,7.857500000000001,0.73,11.4,0.28,0.0,0.0,0.76,-0.12,9.24,8.2,0.0,3,2011,,,0.0,,30.928571428571427,8.66
2011-06-30,181.52,10.14,0.32901063829787236,0.0,,10.139999999999999,10.139999999999999,8.25,0.0,0.0,4.22,0.0,102.14,4645.56,4258.4,310.39,387.16,4.490000000000002,-34.760000000000005,0.0,6.266666666666666,0.66,11.0,0.61,0.0,0.0,0.8629787234042553,0.7335319148936171,10.485191489361704,9.514340425531914,0.0,6,2011,,,0.0,,30.81967213114754,18.8
2011-09-30,200.36,-0.740000000000002,-0.02376522702104104,0.0,,-0.75,-0.75,7.0,0.0,0.0,8.95,0.0,102.32,4695.42,4309.56,310.39,385.86,1.9899999999999949,2.75,0.0,-73.6433108108106,0.56,11.17,0.58,0.0,0.0,-0.06228128460686617,-0.05080841638981188,-0.7670431893687728,-0.7178737541528258,0.0,9,2011,,,0.0,,31.137931034482758,18.06
2011-12-31,243.71000000000004,-180.04,-5.8020051858254105,0.0,,-180.03,-180.03,7.3,0.0,0.0,9.22,0.0,101.04,5235.16,5031.07,310.39,204.09,32.64000000000001,-32.379999999999995,0.0,-0.3148911353032659,1.11,24.65,-5.22,0.0,0.0,-13.7380812445981,-24.719654278305963,-352.877510803803,-253.24307692307693,0.0,12,2011,,,0.0,,31.03065134099617,-161.98
2012-03-31,255.43,-33.03,-1.06,0.0,,-33.03,-33.03,9.1,0.0,0.0,9.75,0.0,99.8,5490.86,5375.49,310.39,115.37,3.03,-2.5,0.0,-2.145,2.45,46.59,-1.06,0.0,0.0,-2.4,-2.6,-114.52000000000001,-53.92,0.0,3,2012,,,0.0,,31.160377358490564,-33.03
2012-06-30,294.19,-46.379999999999995,-1.4951870041556479,0.0,,-46.379999999999995,-46.379999999999995,9.1,0.0,0.0,5.51,0.0,99.05,5650.97,5498.88,310.39,152.09,7.25,-92.99,81.5,-1.5195423673997412,1.86,36.16,-2.56,0.0,0.0,-3.2940838685304117,-3.5977937287495276,-121.97455232338496,-68.80196448809974,0.0,6,2012,,,0.0,,31.019531249999996,-79.41
2012-09-30,290.16999999999996,-118.84,-3.7225543505674654,0.0,,-118.84,-118.84,8.1,0.0,0.0,9.21,0.0,97.76,5733.03,5685.72,395.68,47.32,-34.839999999999996,34.739999999999995,3.7900000000000063,-0.5421680410636149,6.77,120.15,-6.21,0.0,0.0,-8.29632080706179,-9.111566204287517,-1004.5741518284995,-219.46885649432537,0.0,9,2012,,,0.0,,31.924315619967793,-198.25
2012-12-31,255.36000000000013,46.25,1.366200657894737,0.0,,46.25,46.25,6.2,0.0,0.0,10.08,0.0,99.36,5726.66,5630.4,395.68,96.26,-45.55,46.42,0.0,1.1338378378378378,2.55,58.49,-4.49,0.0,0.0,3.225328947368421,3.3713815789473682,192.19309210526316,123.1953947368421,0.0,12,2012,,,0.0,,33.85300668151447,-152.0
2013-03-31,221.14,16.08,0.41,0.0,,16.08,16.08,6.15,0.0,0.0,40.21,0.0,97.32,5804.91,5691.68,395.68,113.23,-72.45,102.58,0.0,3.75,2.15,50.27,0.41,0.0,0.0,1.12,1.12,56.8,56.28,0.0,3,2013,,,0.0,,39.21951219512195,16.08
2013-06-30,182.8,-47.47,-1.1946893915259635,0.0,,-47.62,-47.62,8.6,0.0,0.0,30.23,0.0,172.23,5950.48,5822.75,395.68,127.73,-54.03999999999999,44.05,0.0,-1.8002796503054563,2.66,45.59,-0.79,0.0,0.0,-3.206001911436763,-3.266492513539344,-148.6858999681427,-135.7409111181905,0.0,6,2013,,,0.0,,39.734177215189874,-31.39
2013-09-30,159.17000000000002,8.560000000000002,0.21746824353920288,0.0,,8.48,8.48,6.0,0.0,0.0,37.48,0.0,171.5,5733.74,5602.56,395.68,131.18,-47.209999999999994,54.47,0.0,6.894339953271026,1.81,42.71,-0.58,0.0,0.0,0.5999123959702148,0.5999123959702148,26.096189224704343,38.36439772229524,0.0,9,2013,,,0.0,,39.36206896551724,-22.83
2013-12-31,160.89999999999998,4.319999999999997,0.10969205834683944,0.0,,4.25,4.25,5.9,0.0,0.0,32.99,0.0,176.67,5633.92,5495.38,395.68,138.54,-105.16000000000003,100.67999999999998,0.0,13.443315972222234,1.69,39.67,-0.47,0.0,0.0,0.30807131280388955,0.30807131280388955,12.47222042139383,14.722074554294963,0.0,12,2013,,,0.0,,39.382978723404264,-18.51
2014-03-31,151.38,-1.37,-0.03,0.0,,-1.37,-1.37,6.05,0.0,0.0,47.0,0.0,176.33,5711.97,5573.68,395.68,138.29,-60.42,74.42,0.0,-50.41749999999999,1.73,40.3,-0.03,0.0,0.0,-0.08,-0.08,-3.9599999999999995,-4.36,0.0,3,2014,,,0.0,,45.66666666666667,-1.37
2014-06-30,125.63,-2.95,-0.07511574074074075,0.0,,-3.4399999999999995,-3.4399999999999995,7.8,0.0,0.0,104.65,0.0,131.5,2178.85,1992.29,446.91,186.56,-47.209999999999994,13.649999999999991,91.22,-25.96027118644068,1.87,10.68,-0.11,0.0,0.0,-0.5462962962962963,-0.3277777777777778,-6.337037037037037,-7.511574074074074,0.0,6,2014,,,0.0,,39.27272727272727,-4.32
2014-09-30,125.38,-24.12,-0.5767088607594937,0.0,,-24.360000000000003,-24.360000000000003,7.95,0.0,0.0,45.24,0.0,129.77,1938.53,1774.39,446.91,164.14,-83.80000000000001,24.39,0.0,-3.445932835820895,2.16,10.81,-0.68,0.0,0.0,-4.986835443037975,-2.5782278481012657,-58.790379746835434,-65.33772151898735,0.0,9,2014,,,0.0,,41.8235294117647,-28.44
2014-12-31,120.58000000000004,-81.41,-1.912041875284479,0.0,,-24.449999999999996,-24.449999999999996,6.95,0.0,0.0,25.68,0.0,127.99,1643.8,1552.0,446.91,91.8,-59.139999999999986,39.58,0.0,-0.9074330549072595,3.38,16.91,-2.58,0.0,0.0,-19.802232134729174,-4.357676832043696,-354.7208229403732,-282.7450450614474,0.0,12,2014,,,0.0,,42.57751937984496,-109.85
2015-03-31,107.54,17.32,0.39,0.0,,17.07,17.07,18.1,0.0,0.0,14.87,0.0,126.23,1748.83,1636.81,446.91,112.02,-32.01,21.2,0.0,11.6025,7.22,14.61,0.39,0.0,0.0,3.96,1.84,61.84,55.36,0.0,3,2015,,,0.0,,44.41025641025641,17.32
2015-06-30,104.89,0.6699999999999982,0.0014897165091717582,0.0,,0.4299999999999997,0.4299999999999997,1.25,0.0,0.0,254.73,0.0,124.47,1914.77,1580.29,744.84,334.48,42.75,19.62,177.49,209.77145522388116,2.78,4.72,0.04,0.0,0.0,0.14003335186214524,0.12662590327959944,0.8014674819344059,1.029394107837685,0.0,6,2015,,,0.0,,449.74999999999994,17.99
2015-09-30,110.43,-20.86,0.0,,,-21.1,-21.1,0.64,0.0,0.0,148.69,0.0,122.67,1789.95,1478.48,744.84,311.46,-6.390000000000001,-99.65,0.0,0.0,1.53,4.75,0.0,0.0,0.0,-4.65170731707317,-5.52390243902439,-26.74731707317073,-35.17853658536585,0.0,9,2015,,,,,-inf,-2.87
2015-12-31,111.38999999999999,13.100000000000001,0.025610948191593357,,,12.85,12.85,0.5,0.0,0.0,138.32,0.0,120.93,1628.73,1301.85,744.84,326.87,-15.1,4.719999999999999,0.0,4.880725190839694,1.14,3.98,0.02,0.0,0.0,3.226979472140763,2.919648093841642,16.032453567937438,25.0475073313783,0.0,12,2015,,,,,511.5,10.23
2016-03-31,124.54,-53.09,-0.07,0.0,,-52.79,-52.79,0.45,0.0,0.0,88.02,300.83,137.76,1649.52,1356.6,744.84,292.92,-50.18,-0.12,0.0,-1.6075,1.14,4.63,-0.07,0.0,0.0,-12.88,-12.44,-72.48,-104.88,0.0,3,2016,,,0.0,,758.4285714285714,-53.09
2016-06-30,122.51,-36.66,-0.04901615598885793,0.0,,-36.76,-36.76,0.45,0.0,0.0,127.6,371.1,137.2,1782.19,1446.1,918.07,336.09,-39.949999999999996,-0.15000000000000002,79.68,-2.295161620294599,1.23,4.3,-0.12,0.0,0.0,-8.234714206128134,-7.90793983286908,-43.62437883008356,-43.738749860724226,0.0,6,2016,,,0.0,,747.9166666666667,-89.75
2016-09-30,132.95999999999998,-12.200000000000003,-0.014359980382540464,0.0,,-12.290000000000006,-12.290000000000006,0.34,0.0,0.0,79.42,345.83,136.53,1687.35,1363.61,918.07,323.74,-48.16,-0.019999999999999962,0.0,-5.912264344262294,0.96,4.21,-0.12,0.0,0.0,-2.8911427170181465,-2.804982834722904,-15.073192741539973,-15.365179009318297,0.0,9,2016,,,0.0,,849.5833333333334,-101.95
2016-12-31,137.97000000000003,-81.48,-0.09772447255083684,0.0,,-81.65,-81.65,0.6,0.0,0.0,56.73,398.44,147.21,1583.07,1331.44,918.07,251.63,-21.680000000000007,-1.02,0.0,-1.5364626288659795,2.19,5.29,-0.22,0.0,0.0,-20.59321157934907,-20.308922204655726,-129.52934634465464,-112.68520089407404,0.0,12,2016,,,0.0,,833.7727272727273,-183.43
2017-03-31,134.97,-12.07,-0.01,0.0,,-12.12,-12.12,0.52,0.0,0.0,37.11,400.87,146.81,1551.83,1314.91,918.07,236.91,-18.67,-0.95,0.0,-13.0,2.02,5.55,-0.01,0.0,0.0,-3.12,-3.04,-20.36,-18.24,0.0,3,2017,,,0.0,,1207.0,-12.07
2017-06-30,128.04,-39.4,-0.045929667767631625,0.0,,-39.470000000000006,-39.470000000000006,0.43,9.02,42.51,64.72,0.0,146.32,1659.9,1469.05,918.07,190.85,27.62,0.0,0.0,-2.341623730964467,2.07,7.7,-0.06,0.0,0.0,-9.49213133864387,-9.185933553526326,-82.58154264620167,-59.83104721196813,0.0,6,2017,,,0.0,,857.8333333333334,-51.47
2017-09-30,152.53000000000003,-44.61,-0.0464300582847627,0.0,,-44.66,-44.66,0.72,21.82,20.65,181.08,0.0,145.93,1556.77,1407.66,918.07,149.11,116.47,-0.1100000000000001,0.0,-3.8767989240080696,4.43,9.44,-0.1,0.0,0.0,-11.458938384679435,-11.013209825145712,-119.67811823480433,-75.47670274771025,0.0,9,2017,,,0.0,,960.8,-96.08
